suite,scene,method,budget,tri_ratio,psnr,lpips,dpsnr_b0,dpsnr_b0_lo,dpsnr_b0_hi,dlpips_b0,dpsnr_b0p,dpsnr_b0p_lo,dpsnr_b0p_hi,dlpips_b0p,fps_ratio
S-REND,bicycle,B5,B50,0.5000,23.1353,0.3429,0.1143,0.0966,0.1317,-0.00436,-0.0260,-0.0541,0.0024,-0.00195,1.285
S-REND,flowers,B5,B50,0.5000,19.2436,0.4071,-0.1465,-0.3088,-0.0035,-0.00135,-0.2244,-0.3686,-0.0964,-0.00033,1.281
S-REND,garden,B5,B50,0.5000,24.8509,0.2101,0.1389,0.0970,0.1769,-0.00613,0.0703,0.0374,0.0996,-0.00318,1.291
S-REND,stump,B5,B50,0.5000,24.9067,0.3071,0.0406,0.0056,0.0744,-0.00233,-0.0471,-0.0914,-0.0046,0.00019,1.334
S-REND,treehill,B5,B50,0.5000,20.6720,0.4185,0.0200,-0.0448,0.0933,-0.00249,-0.0145,-0.0748,0.0544,0.00081,1.352
S-REND,room,B5,B50,0.5000,28.4584,0.2647,-0.0170,-0.1174,0.0641,-0.00344,-0.1423,-0.2376,-0.0624,0.00409,1.239
S-REND,counter,B5,B50,0.5000,26.4466,0.2724,0.0364,-0.0292,0.0960,-0.00524,-0.1357,-0.1975,-0.0833,0.00727,1.300
S-REND,kitchen,B5,B50,0.5000,27.4494,0.2191,0.1537,0.1032,0.2023,-0.00714,-0.1603,-0.2011,-0.1183,0.00818,1.277
S-REND,bonsai,B5,B50,0.5000,28.4922,0.2857,0.1135,0.0442,0.1707,-0.00447,-0.1513,-0.2230,-0.0875,0.00217,1.246
S-REND,bicycle,B4,B50,0.5000,23.0195,0.3475,-0.0016,-0.0063,0.0020,0.00025,-0.1419,-0.1768,-0.1073,0.00266,1.272
S-REND,flowers,B4,B50,0.5000,19.1527,0.4104,-0.2375,-0.4122,-0.0860,0.00193,-0.3153,-0.4725,-0.1776,0.00295,1.287
S-REND,garden,B4,B50,0.5000,24.7010,0.2163,-0.0110,-0.0327,0.0029,0.00008,-0.0796,-0.1019,-0.0611,0.00303,1.305
S-REND,stump,B4,B50,0.5000,24.8748,0.3097,0.0087,0.0013,0.0169,0.00023,-0.0790,-0.1150,-0.0420,0.00275,1.334
