suite,scene,method,budget,g1 free-space viol.,g2 depth L1 [m],g3 floater comps,g3 floater frac,g4 chamfer [m],g4 F@5cm,eval row
S-REND,bicycle,B0,B100,0.0554,n/a,3905,0.00359,n/a,n/a,bicycle_clean30k_v1
S-REND,bicycle,B5,B50,0.0555,n/a,12449,0.00764,n/a,n/a,bicycle_B50_importance_ft_s2
S-REND,bicycle,B4,B50,0.0555,n/a,12449,0.00764,n/a,n/a,bicycle_B50_importance_noft_s2
S-REND,bicycle,B5,B25,0.0609,n/a,8830,0.00873,n/a,n/a,bicycle_B25_importance_ft_s2
S-REND,bicycle,B4,B25,0.0609,n/a,8830,0.00873,n/a,n/a,bicycle_B25_importance_noft_s2
S-REND,bicycle,B5,B12.5,0.0745,n/a,3025,0.00445,n/a,n/a,bicycle_B12_importance_ft_s2
S-REND,bicycle,B4,B12.5,0.0745,n/a,3025,0.00445,n/a,n/a,bicycle_B12_importance_noft_s2
S-REND,flowers,B0,B100,0.0745,n/a,3762,0.00345,n/a,n/a,flowers_clean30k_v1
S-REND,flowers,B5,B50,0.0745,n/a,14878,0.00960,n/a,n/a,flowers_B50_importance_ft_s2
S-REND,flowers,B4,B50,0.0745,n/a,14878,0.00960,n/a,n/a,flowers_B50_importance_noft_s2
S-REND,flowers,B5,B25,0.0799,n/a,8678,0.01045,n/a,n/a,flowers_B25_importance_ft_s2
S-REND,flowers,B4,B25,0.0799,n/a,8678,0.01045,n/a,n/a,flowers_B25_importance_noft_s2
S-REND,flowers,B5,B12.5,0.0968,n/a,4845,0.00887,n/a,n/a,flowers_B12_importance_ft_s2
S-REND,flowers,B4,B12.5,0.0968,n/a,4845,0.00887,n/a,n/a,flowers_B12_importance_noft_s2
S-REND,garden,B0,B100,0.0046,n/a,1941,0.00138,n/a,n/a,garden_clean30k_v2
S-REND,garden,B5,B50,0.0046,n/a,5724,0.00260,n/a,n/a,garden_B50_importance_ft_e1v2
S-REND,garden,B4,B50,0.0046,n/a,5724,0.00260,n/a,n/a,garden_B50_importance_noft_e1b
S-REND,garden,B5,B25,0.0086,n/a,3353,0.00347,n/a,n/a,garden_B25_importance_ft_e1v2
S-REND,garden,B4,B25,0.0086,n/a,3353,0.00347,n/a,n/a,garden_B25_importance_noft_e1b
S-REND,garden,B5,B12.5,0.0226,n/a,2291,0.00312,n/a,n/a,garden_B12_importance_ft_s2
S-REND,garden,B4,B12.5,0.0226,n/a,2291,0.00312,n/a,n/a,garden_B12_importance_noft_s2
S-REND,stump,B0,B100,0.0842,n/a,7851,0.00785,n/a,n/a,stump_clean30k_v1
S-REND,stump,B5,B50,0.0843,n/a,15838,0.01010,n/a,n/a,stump_B50_importance_ft_s2
S-REND,stump,B4,B50,0.0843,n/a,15838,0.01010,n/a,n/a,stump_B50_importance_noft_s2
S-REND,stump,B5,B25,0.0894,n/a,7625,0.01021,n/a,n/a,stump_B25_importance_ft_s2
S-REND,stump,B4,B25,0.0894,n/a,7625,0.01021,n/a,n/a,stump_B25_importance_noft_s2
S-REND,stump,B5,B12.5,0.1007,n/a,4240,0.00990,n/a,n/a,stump_B12_importance_ft_s2
S-REND,stump,B4,B12.5,0.1007,n/a,4240,0.00990,n/a,n/a,stump_B12_importance_noft_s2
S-REND,treehill,B0,B100,0.0466,n/a,5986,0.00483,n/a,n/a,treehill_clean30k_v1
S-REND,treehill,B5,B50,0.0466,n/a,15264,0.00894,n/a,n/a,treehill_B50_importance_ft_s2
S-REND,treehill,B4,B50,0.0466,n/a,15264,0.00894,n/a,n/a,treehill_B50_importance_noft_s2
S-REND,treehill,B5,B25,0.0487,n/a,10892,0.01136,n/a,n/a,treehill_B25_importance_ft_s2
S-REND,treehill,B4,B25,0.0487,n/a,10892,0.01136,n/a,n/a,treehill_B25_importance_noft_s2
S-REND,treehill,B5,B12.5,0.0538,n/a,5232,0.00908,n/a,n/a,treehill_B12_importance_ft_s2
S-REND,treehill,B4,B12.5,0.0538,n/a,5232,0.00908,n/a,n/a,treehill_B12_importance_noft_s2
S-REND,room,B0,B100,0.0138,n/a,1499,0.00380,n/a,n/a,room_clean30k_v1
S-REND,room,B5,B50,0.0138,n/a,4291,0.00795,n/a,n/a,room_B50_importance_ft_s2
S-REND,room,B4,B50,0.0138,n/a,4291,0.00795,n/a,n/a,room_B50_importance_noft_s2
S-REND,room,B5,B25,0.0144,n/a,9308,0.01542,n/a,n/a,room_B25_importance_ft_s2
S-REND,room,B4,B25,0.0144,n/a,9308,0.01542,n/a,n/a,room_B25_importance_noft_s2
S-REND,room,B5,B12.5,0.0187,n/a,11597,0.02141,n/a,n/a,room_B12_importance_ft_s2
S-REND,room,B4,B12.5,0.0187,n/a,11597,0.02141,n/a,n/a,room_B12_importance_noft_s2
S-REND,counter,B0,B100,0.0139,n/a,1447,0.00823,n/a,n/a,counter_clean30k_v1
S-REND,counter,B5,B50,0.0139,n/a,5968,0.01131,n/a,n/a,counter_B50_importance_ft_s2
S-REND,counter,B4,B50,0.0139,n/a,5968,0.01131,n/a,n/a,counter_B50_importance_noft_s2
S-REND,counter,B5,B25,0.0147,n/a,12796,0.01903,n/a,n/a,counter_B25_importance_ft_s2
S-REND,counter,B4,B25,0.0147,n/a,12796,0.01903,n/a,n/a,counter_B25_importance_noft_s2
S-REND,counter,B5,B12.5,0.0178,n/a,8128,0.01240,n/a,n/a,counter_B12_importance_ft_s2
S-REND,counter,B4,B12.5,0.0178,n/a,8128,0.01240,n/a,n/a,counter_B12_importance_noft_s2
S-REND,kitchen,B0,B100,0.0019,n/a,2481,0.01515,n/a,n/a,kitchen_clean30k_v1
S-REND,kitchen,B5,B50,0.0019,n/a,7100,0.01563,n/a,n/a,kitchen_B50_importance_ft_s2
S-REND,kitchen,B4,B50,0.0019,n/a,7100,0.01563,n/a,n/a,kitchen_B50_importance_noft_s2
S-REND,kitchen,B5,B25,0.0019,n/a,16478,0.02154,n/a,n/a,kitchen_B25_importance_ft_s2
S-REND,kitchen,B4,B25,0.0019,n/a,16478,0.02154,n/a,n/a,kitchen_B25_importance_noft_s2
S-REND,kitchen,B5,B12.5,0.0022,n/a,7947,0.01110,n/a,n/a,kitchen_B12_importance_ft_s2
S-REND,kitchen,B4,B12.5,0.0022,n/a,7947,0.01110,n/a,n/a,kitchen_B12_importance_noft_s2
S-REND,bonsai,B0,B100,0.0091,n/a,2721,0.00761,n/a,n/a,bonsai_clean30k_v1
S-REND,bonsai,B5,B50,0.0091,n/a,6883,0.00647,n/a,n/a,bonsai_B50_importance_ft_s2
S-REND,bonsai,B4,B50,0.0091,n/a,6883,0.00647,n/a,n/a,bonsai_B50_importance_noft_s2
S-REND,bonsai,B5,B25,0.0099,n/a,13230,0.01590,n/a,n/a,bonsai_B25_importance_ft_s2
S-REND,bonsai,B4,B25,0.0099,n/a,13230,0.01590,n/a,n/a,bonsai_B25_importance_noft_s2
S-REND,bonsai,B5,B12.5,0.0140,n/a,8939,0.01154,n/a,n/a,bonsai_B12_importance_ft_s2
S-REND,bonsai,B4,B12.5,0.0140,n/a,8939,0.01154,n/a,n/a,bonsai_B12_importance_noft_s2
S-GEO,ss3dm_town01,B0,B100,0.6418,6.9802,3842,0.00478,1.6241,0.0445,ss3dm_town01_clean30k_geo_v1
S-GEO,ss3dm_town01,B5,B50,0.6412,6.9867,10395,0.01225,1.6478,0.0446,ss3dm_town01_B50_geo_v1
S-GEO,ss3dm_town01,B4,B50,n/a,n/a,10395,0.01225,VOID,VOID,ss3dm_town01_B50_importance_noft_s2
S-GEO,ss3dm_town01,B5,B25,n/a,n/a,12123,0.02071,VOID,VOID,ss3dm_town01_B25_importance_ft_s2
S-GEO,ss3dm_town01,B4,B25,n/a,n/a,12123,0.02071,VOID,VOID,ss3dm_town01_B25_importance_noft_s2
S-GEO,ss3dm_town02,B0,B100,0.6022,3.9365,3686,0.00291,2.6849,0.0306,ss3dm_town02_clean30k_geo_v1
S-GEO,ss3dm_town02,B5,B50,0.6020,3.9385,7173,0.00544,2.6842,0.0310,ss3dm_town02_B50_geo_v1
S-GEO,ss3dm_town02,B4,B50,n/a,n/a,7173,0.00544,VOID,VOID,ss3dm_town02_B50_importance_noft_s2
S-GEO,ss3dm_town02,B5,B25,n/a,n/a,8731,0.00818,VOID,VOID,ss3dm_town02_B25_importance_ft_s2
S-GEO,ss3dm_town02,B4,B25,n/a,n/a,8731,0.00818,VOID,VOID,ss3dm_town02_B25_importance_noft_s2
S-GEO,ss3dm_town03,B0,B100,0.5466,5.0797,3470,0.00352,1.9890,0.0501,ss3dm_town03_clean30k_geo_v1
S-GEO,ss3dm_town03,B5,B50,0.5461,5.0802,8026,0.00719,2.0092,0.0515,ss3dm_town03_B50_geo_v1
S-GEO,ss3dm_town03,B4,B50,n/a,n/a,8026,0.00719,VOID,VOID,ss3dm_town03_B50_importance_noft_s2
S-GEO,ss3dm_town03,B5,B25,n/a,n/a,8613,0.01120,VOID,VOID,ss3dm_town03_B25_importance_ft_s2
S-GEO,ss3dm_town03,B4,B25,n/a,n/a,8613,0.01120,VOID,VOID,ss3dm_town03_B25_importance_noft_s2
S-GEO,ss3dm_town06,B0,B100,0.7479,16.7146,4723,0.00975,n/a,n/a,ss3dm_town06_clean30k_geo_v1
S-GEO,ss3dm_town06,B5,B50,0.7446,16.7534,14694,0.02994,n/a,n/a,ss3dm_town06_B50_geo_v1
S-GEO,ss3dm_town06,B4,B50,n/a,n/a,14694,0.02994,VOID,VOID,ss3dm_town06_B50_importance_noft_s2
S-GEO,ss3dm_town06,B5,B25,n/a,n/a,14659,0.04146,VOID,VOID,ss3dm_town06_B25_importance_ft_s2
S-GEO,ss3dm_town06,B4,B25,n/a,n/a,14659,0.04146,VOID,VOID,ss3dm_town06_B25_importance_noft_s2
S-DEV,toy_parking,GT-CAL,B100,0.0003,0.0028,5,0.00053,0.0179,0.9978,toy_parking_GTmodel_v1
S-DEV,toy_parking,B0,B100,0.2385,0.2559,395,0.00282,0.5696,0.3956,toy_parking_clean30k_v1
S-DEV,toy_parking,B5,B50,0.2377,0.2572,3362,0.00807,0.5764,0.3825,toy_parking_B50_importance_ft_e1v2
S-DEV,toy_parking,B4,B50,0.2377,0.2572,3362,0.00807,0.5764,0.3825,toy_parking_B50_importance_noft_e1b
S-DEV,toy_parking,B6R,B50,0.2346,0.2550,1764,0.00607,0.5742,0.3771,e2r_toy_parking_B50_v1
S-DEV,toy_parking,B5,B25,0.2359,0.2591,3525,0.00952,0.5778,0.3638,toy_parking_B25_importance_ft_e1v2
S-DEV,toy_parking,B4,B25,0.2359,0.2591,3525,0.00952,0.5778,0.3638,toy_parking_B25_importance_noft_e1b
S-DEV,courtyard,B0,B100,0.0940,n/a,5808,0.00808,0.5407,0.1350,courtyard_clean30k_v4
S-DEV,courtyard,B5,B50,0.0940,n/a,14134,0.02510,0.5317,0.1465,courtyard_B50_ft_v4
S-DEV,courtyard,B4,B50,0.0940,n/a,14134,0.02510,0.5317,0.1465,courtyard_B50_importance_noft_v4
S-DEV,courtyard,B6R,B50,0.0672,n/a,9284,0.01479,0.5312,0.1473,e2r_courtyard_B50_v1
S-DEV,courtyard,B5,B25,0.1014,n/a,7238,0.01560,0.5230,0.1588,courtyard_B25_importance_ft_e1v2
S-DEV,courtyard,B4,B25,0.1014,n/a,7238,0.01560,0.5230,0.1588,courtyard_B25_importance_noft_v4
